name,day,time,tz
Prof. Carlee Joe-Wong,Mon,1:50 pm - 3:00 pm,ET
Prof. Gauri Joshi,Thur,4:00 pm - 5:00 pm,ET
Baran Atalar (Pitt),Mon,3:00 pm - 4:00 pm,ET
Tianshu Huang (Pitt),Tue,2:00 pm - 3:00 pm,ET
Divyansh Jhunjhunwala (Pitt),Thur,2:00 pm - 3:00 pm,ET
Harry Jiang (Pitt),Thur,5:00 pm - 6:00 pm,ET
Muhammed Ustaomeroglu (Pitt),Fri,12:00 pm - 1:00 pm,ET
Baris Askin (Pitt),Fri,2:15 pm - 3:15 pm,ET
Hanqing Yang (Pitt),Wed,2:00 pm - 3:00 pm,ET
,Sun,10:30 am - 12:00 am,ET
April Yang (SV),Wed,2:00 pm - 3:00 pm,PT
Carmel Prosper Sagbo(RW),TBD,TBD,CAT
Jean de Dieu Nyandwi (RW),Tue,5:00 pm - 6:00 pm,CAT
Kevin Sebineza (RW),Mon,3:00 pm - 4:00 pm,CAT
,Fri,2:00 pm - 3:00 pm,CAT
